nearest_x,run,agent_id,x,y,z
2.000000000000000000e+00,0.000000000000000000e+00,2.400000000000000000e+01,5.165434374459387357e+01,6.613008949207423370e+01,5.491108708168554386e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,6.983635667688598403e+01,1.848175990488937970e+01,2.213077553515626050e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.600000000000000000e+01,6.867359822378085710e+01,2.175635301591207238e+01,2.398028426060442087e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,8.288864709106410089e+01,1.008373785504009490e+01,7.885441183617041361e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.800000000000000000e+01,9.145740686742261971e+01,3.698307658751740234e+01,2.255433328892618050e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.900000000000000000e+01,7.648489470731537665e+01,8.037025911959686653e+01,2.616789158808287752e+01
2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,7.285512134526602068e+00,5.704575110842354491e+01,8.693638862146917390e+00
2.000000000000000000e+00,0.000000000000000000e+00,3.100000000000000000e+01,8.590588538709189592e+00,3.981096388383240736e+01,3.361913271482853105e+01
2.000000000000000000e+00,0.000000000000000000e+00,3.200000000000000000e+01,1.542197105694564563e+01,1.286512406035952871e+01,2.173755585764013176e+01
2.000000000000000000e+00,0.000000000000000000e+00,3.300000000000000000e+01,1.002207203419433945e+01,6.163522923705469836e+00,6.380500070392118772e+01
2.000000000000000000e+00,0.000000000000000000e+00,3.400000000000000000e+01,5.588187270496429448e+01,6.100061069223828270e+01,9.304452001227161873e+01
2.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,3.577981648149914662e+01,2.420837342620926691e+01,1.577244753042768544e+01
2.000000000000000000e+00,0.000000000000000000e+00,3.600000000000000000e+01,3.127658526984617282e+01,7.212540647493197810e+01,8.081682354687339398e+01
2.000000000000000000e+00,0.000000000000000000e+00,3.700000000000000000e+01,1.673857991555707514e+01,1.222430467035290924e+01,8.153257720744539938e+01
2.000000000000000000e+00,0.000000000000000000e+00,3.800000000000000000e+01,8.227553680205708986e+01,1.623129204426438932e+01,8.812317878980181263e+01
2.000000000000000000e+00,0.000000000000000000e+00,3.900000000000000000e+01,1.362952709569089116e+01,6.819090410011951597e+00,7.080481929232787763e+01
2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+01,3.546698855229700342e+01,4.155738219107846732e+01,9.220416040489557474e+01
2.000000000000000000e+00,0.000000000000000000e+00,4.100000000000000000e+01,4.655501359452104282e+01,4.064904148387127947e+01,6.024480451693620608e+01
2.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01,7.772828301662839579e+01,8.147500875957661037e+01,2.377635879982607392e+01
2.000000000000000000e+00,0.000000000000000000e+00,4.300000000000000000e+01,8.061708313999288578e+01,4.411483524791339761e+01,5.044397398339775407e+00
2.000000000000000000e+00,0.000000000000000000e+00,4.400000000000000000e+01,4.241527954242901899e+01,4.971298720838658625e+01,1.561085116302167464e+01
2.000000000000000000e+00,0.000000000000000000e+00,4.500000000000000000e+01,8.355056403810985444e+01,8.990124643019363759e+00,7.030947227109065523e+01
2.000000000000000000e+00,0.000000000000000000e+00,4.600000000000000000e+01,8.899349112588994615e+01,4.880324370305179826e+01,9.330287066592130429e+01
2.000000000000000000e+00,0.000000000000000000e+00,4.700000000000000000e+01,8.932040106411969305e+01,7.518117074638161057e+01,4.162549599866723327e+01
2.000000000000000000e+00,0.000000000000000000e+00,4.800000000000000000e+01,4.393262858182604447e+01,4.864441001230084538e+01,7.709585946738351403e+00
2.000000000000000000e+00,0.000000000000000000e+00,4.900000000000000000e+01,8.143943572130136488e+01,2.631036215663015199e+01,8.563532606291096272e+01
2.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,8.908782202370106518e+01,5.509668711858034840e+01,9.170442465431836609e+00
2.000000000000000000e+00,0.000000000000000000e+00,5.100000000000000000e+01,5.593534003248409903e+01,6.180199679666419144e+01,5.851782071767310356e+01
2.000000000000000000e+00,0.000000000000000000e+00,5.200000000000000000e+01,8.689474153104218601e+01,2.374297603359744357e+01,9.398357838392196584e+01
2.000000000000000000e+00,0.000000000000000000e+00,5.300000000000000000e+01,7.190640101023011432e+00,5.480314401646933931e+01,6.109248806174690571e+00
