nearest_x,run,step,agent_id,x,y,z
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,9.900000000000000000e+01,8.617474784859666670e+01,8.334794498399296003e+01,5.243101025683328587e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.000000000000000000e+02,7.348933485162326917e+01,8.349836749026597715e+01,7.602778336601384801e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.010000000000000000e+02,9.390716088107109272e+01,8.169347604947228092e+01,7.221697337353915280e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.020000000000000000e+02,9.081999483674250939e+01,8.326353456132693509e+01,4.794809270513848531e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.030000000000000000e+02,7.044488844367802471e+01,8.429552958750076641e+01,6.955326339980884676e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.040000000000000000e+02,8.324804803571922207e+01,8.426426823378943709e+01,4.741350720079119618e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.050000000000000000e+02,6.766574694057698025e+01,8.348600059049194044e+01,8.057742361724187674e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.060000000000000000e+02,8.360322657897742715e+01,8.630977686237407909e+01,6.513790047409686146e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.070000000000000000e+02,8.552150022630431181e+01,8.385162142133521002e+01,5.651548146093728242e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.080000000000000000e+02,8.875774875329818769e+01,8.824615318137949771e+01,6.542486479294897350e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.090000000000000000e+02,9.483730712866915269e+01,8.544998526404644679e+01,1.665267030608361409e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.100000000000000000e+02,7.286997988246007196e+01,8.358272802456811235e+01,8.615526136966172643e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.110000000000000000e+02,8.558417659148581436e+01,8.225499209486143570e+01,6.090834319948783993e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.120000000000000000e+02,8.590191488272670028e+01,8.307517364758479061e+01,4.790938631806443304e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.130000000000000000e+02,9.243285908930045025e+01,8.138006413154464269e+01,5.149874812619351871e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.140000000000000000e+02,8.816193792502804172e+01,8.224434337347668134e+01,5.828368394678382636e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.150000000000000000e+02,8.875974888497103166e+01,6.057031939066314408e+01,4.850154507248288382e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.160000000000000000e+02,6.691290971236146845e+01,8.550370750635481443e+01,8.025440884999840208e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.170000000000000000e+02,9.189799625807481220e+01,8.285687829546124306e+01,5.234227334290424416e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.180000000000000000e+02,6.333061054971749115e+01,8.271546233689183225e+01,6.752752573457684093e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.190000000000000000e+02,7.623126203603402473e+01,8.438260089628926153e+01,8.755371926388532344e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.200000000000000000e+02,8.455965479043467781e+01,8.427499427953915756e+01,4.560193952348573276e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.210000000000000000e+02,7.337149300419565634e+01,8.525707549959628295e+01,8.994683866119844495e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.220000000000000000e+02,7.808885071329792993e+01,8.398955280990854533e+01,6.318021558226348589e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.230000000000000000e+02,9.346771545293435679e+01,8.060691120617910599e+01,5.845205314154084064e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.240000000000000000e+02,8.611925628934987742e+01,8.455344889345769843e+01,5.095483337981648653e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.250000000000000000e+02,8.655472443931202520e+01,8.324706815036775254e+01,5.735104546406144088e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.260000000000000000e+02,9.230833304719074306e+01,8.169034778972263666e+01,5.740700201390928292e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.270000000000000000e+02,7.119390321863224358e+01,8.415399861517205693e+01,9.321577351662201139e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.280000000000000000e+02,9.495322075884747903e+01,8.694143795186630541e+01,2.219029364327808551e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.290000000000000000e+02,8.547165838407697436e+01,8.453157236392596019e+01,5.144115146938371019e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.300000000000000000e+02,6.694820295844866109e+01,8.380892926472600379e+01,6.000799487444740343e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.310000000000000000e+02,9.080803074212259673e+01,8.252614928091360014e+01,5.563174231110791901e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.320000000000000000e+02,8.416763233709667702e+01,8.329500098802664354e+01,4.796041727284401368e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.330000000000000000e+02,5.628571952823526203e+01,8.773659390542719905e+01,8.169154650455105582e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.340000000000000000e+02,9.257698563743244335e+01,7.370093772595105008e+01,4.731462340178986636e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.350000000000000000e+02,6.039531719935117593e+01,8.086461165265562556e+01,5.788232986531816060e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.360000000000000000e+02,8.531199112047214328e+01,8.387993237412561598e+01,5.760791445547036815e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.370000000000000000e+02,9.423124877051913018e+01,8.344392474401945492e+01,3.636326710090787628e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.380000000000000000e+02,8.347111572049813333e+01,8.429263164382464879e+01,4.364456071573955320e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.390000000000000000e+02,8.716003044698290125e+01,8.317442832910580819e+01,5.265085684180825787e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.400000000000000000e+02,9.447502001863459498e+01,8.615861012018211795e+01,3.236868955740737874e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.410000000000000000e+02,8.955843861232378345e+01,6.464034024975489956e+01,4.927065987119090806e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.420000000000000000e+02,8.984769397882620012e+01,6.702987551611768424e+01,4.814530845209976206e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.430000000000000000e+02,9.446877051467912167e+01,8.487904763606108816e+01,1.385790281613523511e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.440000000000000000e+02,8.329534690746092451e+01,8.381217659203690573e+01,5.079520033969622261e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.450000000000000000e+02,7.431473246458631365e+01,8.506655210836434833e+01,8.248873094266016892e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.460000000000000000e+02,8.668474597440959428e+01,8.683218550786577339e+01,5.938521835869282839e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.470000000000000000e+02,8.667058200246766830e+01,6.040900320601970463e+01,4.680824868775928849e+01
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.480000000000000000e+02,7.160396260931184997e+01,8.462427020101733888e+01,6.117577193138847846e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.490000000000000000e+02,8.954724440511924399e+01,8.324376328948029879e+01,7.947669331680402571e+00
3.000000000000000000e+00,0.000000000000000000e+00,3.010000000000000000e+02,1.500000000000000000e+02,9.179835256318550307e+01,7.170425519371622158e+01,4.884859970141041430e+01
